Features,Scores
AST (U/L),386.25130160001396
Unnamed: 0,290.11506520621367
GGT (U/L),145.25433286016505
BIL (µmol/L),115.68928785814963
CHOL (mmol/L),46.67726127602954
CHE (kU/L),34.48625816348222
ALB (g/L),20.4341926127856
CREA (µmol/L),11.685704296603012
ALT (U/L),4.760839769930229
PROT (g/L),4.364680918089975
Gender,3.1643955315174446
